IDParticles,Sample,Site_name,GPS_LON,GPS_LAT,Compartment,Contributor,Project,Size_1_[µm],Size_2_[µm],Shape,Colour,polymer_type,library_entry,lab_blank_ID,sample_ID,Sampling_weight_[kg],Fraction_analysed,size_geom_mean
26473_0,Schlei_S23,Schlei,9.78108,54.5722,sediment,27,BONUS MICROPOLL,637.0,95.0,fibre,unspecific,Polypropylene,Polypropylene,1391.0,1213,0.093,1.0,245.99796747127812
26474_0,Schlei_S23,Schlei,9.78108,54.5722,sediment,27,BONUS MICROPOLL,282.0,78.0,irregular,unspecific,Polypropylene,Polypropylene,1391.0,1213,0.093,1.0,148.3104851316993
26475_0,Schlei_S23,Schlei,9.78108,54.5722,sediment,27,BONUS MICROPOLL,202.0,47.0,irregular,unspecific,Polypropylene,Polypropylene,1391.0,1213,0.093,1.0,97.43715923609432
26476_0,Schlei_S23,Schlei,9.78108,54.5722,sediment,27,BONUS MICROPOLL,96.0,26.0,irregular,unspecific,Polypropylene,Polypropylene,1391.0,1213,0.093,1.0,49.95998398718719
26477_0,Schlei_S23,Schlei,9.78108,54.5722,sediment,27,BONUS MICROPOLL,62.0,23.0,irregular,unspecific,Polyethylene,Polyethylene,1391.0,1213,0.093,1.0,37.76241517699841
26478_0,Schlei_S23,Schlei,9.78108,54.5722,sediment,27,BONUS MICROPOLL,176.0,60.0,irregular,unspecific,Polyethylene,Polyethylene,1391.0,1213,0.093,1.0,102.76186062932103
26480_0,Schlei_S23,Schlei,9.78108,54.5722,sediment,27,BONUS MICROPOLL,97.0,65.0,irregular,unspecific,Polyethylene,Polyethylene,1391.0,1213,0.093,1.0,79.40403012442127
26481_0,Schlei_S23,Schlei,9.78108,54.5722,sediment,27,BONUS MICROPOLL,317.0,66.0,irregular,unspecific,Polyethylene,Polyethylene,1391.0,1213,0.093,1.0,144.6443915262531
26482_0,Schlei_S23,Schlei,9.78108,54.5722,sediment,27,BONUS MICROPOLL,173.0,59.0,irregular,unspecific,Polyethylene,Polyethylene,1391.0,1213,0.093,1.0,101.02969860392537
26483_0,Schlei_S23,Schlei,9.78108,54.5722,sediment,27,BONUS MICROPOLL,666.0,142.0,irregular,unspecific,Polyethylene,Polyethylene,1391.0,1213,0.093,1.0,307.52560868974797
26484_0,Schlei_S23,Schlei,9.78108,54.5722,sediment,27,BONUS MICROPOLL,86.0,44.0,irregular,unspecific,Polyethylene,Polyethylene,1391.0,1213,0.093,1.0,61.514225996918796
26488_0,Schlei_S23,Schlei,9.78108,54.5722,sediment,27,BONUS MICROPOLL,200.0,25.0,fibre,unspecific,Poly (ethylene terephthalate),Poly(ethylene terephtalate),1391.0,1213,0.093,1.0,70.71067811865476
26489_0,Schlei_S23,Schlei,9.78108,54.5722,sediment,27,BONUS MICROPOLL,89.0,66.0,irregular,unspecific,Poly (ethylene terephthalate),Poly(ethylene terephtalate),1391.0,1213,0.093,1.0,76.64202502543888
26490_0,Schlei_S23,Schlei,9.78108,54.5722,sediment,27,BONUS MICROPOLL,436.0,31.0,fibre,unspecific,Poly (ethylene terephthalate),Poly(ethylene terephtalate),1391.0,1213,0.093,1.0,116.25833303466896
26492_0,Schlei_S23,Schlei,9.78108,54.5722,sediment,27,BONUS MICROPOLL,513.0,56.0,fibre,unspecific,Polypropylene,PP+PB15,1391.0,1213,0.093,1.0,169.49336270190642
26496_0,Schlei_S23,Schlei,9.78108,54.5722,sediment,27,BONUS MICROPOLL,892.0,38.0,fibre,unspecific,Poly (ethylene terephthalate),Polybutylene terephtalate,1391.0,1213,0.093,1.0,184.1086635658409
26497_0,Schlei_S23,Schlei,9.78108,54.5722,sediment,27,BONUS MICROPOLL,287.0,79.0,irregular,unspecific,Polystyrene,Polystyrene,1391.0,1213,0.093,1.0,150.5755624263114
26499_0,Schlei_S23,Schlei,9.78108,54.5722,sediment,27,BONUS MICROPOLL,156.0,54.0,irregular,unspecific,Polyethylene,Polyethylene,1391.0,1213,0.093,1.0,91.78235124467012
26500_0,Schlei_S23,Schlei,9.78108,54.5722,sediment,27,BONUS MICROPOLL,198.0,49.0,irregular,unspecific,Polyethylene,Polyethylene,1391.0,1213,0.093,1.0,98.49873095629202
26502_0,Schlei_S23,Schlei,9.78108,54.5722,sediment,27,BONUS MICROPOLL,83.0,21.0,irregular,unspecific,Polyethylene,Polyethylene,1391.0,1213,0.093,1.0,41.7492514902962
26504_0,Schlei_S23,Schlei,9.78108,54.5722,sediment,27,BONUS MICROPOLL,225.0,39.0,irregular,unspecific,Polyethylene,Polyethylene,1391.0,1213,0.093,1.0,93.67496997597597
26505_0,Schlei_S23,Schlei,9.78108,54.5722,sediment,27,BONUS MICROPOLL,81.0,57.0,irregular,unspecific,Polyethylene,Polyethylene,1391.0,1213,0.093,1.0,67.94850991743675
26506_0,Schlei_S23,Schlei,9.78108,54.5722,sediment,27,BONUS MICROPOLL,52.0,27.0,irregular,unspecific,Polyethylene,Polyethylene,1391.0,1213,0.093,1.0,37.469987990390386
26507_0,Schlei_S23,Schlei,9.78108,54.5722,sediment,27,BONUS MICROPOLL,289.0,25.0,fibre,unspecific,Poly (ethylene terephthalate),Poly(ethylene terephthalate),1391.0,1213,0.093,1.0,85.0
26509_0,Schlei_S23,Schlei,9.78108,54.5722,sediment,27,BONUS MICROPOLL,838.0,52.0,fibre,unspecific,Poly (ethylene terephthalate),Poly(ethylene terephthalate),1391.0,1213,0.093,1.0,208.7486526902629
26510_0,Schlei_S23,Schlei,9.78108,54.5722,sediment,27,BONUS MICROPOLL,223.0,74.0,irregular,unspecific,Poly (ethylene terephthalate),Poly(ethylene terephthalate),1391.0,1213,0.093,1.0,128.46011054019843
26511_0,Schlei_S23,Schlei,9.78108,54.5722,sediment,27,BONUS MICROPOLL,517.0,38.0,fibre,unspecific,Poly (ethylene terephthalate),Poly(ethylene terephthalate),1391.0,1213,0.093,1.0,140.164189435105
26515_0,Schlei_S23,Schlei,9.78108,54.5722,sediment,27,BONUS MICROPOLL,69.0,66.0,irregular,yellow,Polyethylene,PE+PB15,1391.0,1213,0.093,1.0,67.48333127521195
26516_0,Schlei_S23,Schlei,9.78108,54.5722,sediment,27,BONUS MICROPOLL,91.0,74.0,irregular,yellow,Polyethylene,PE+PB15,1391.0,1213,0.093,1.0,82.06095295571457
26519_0,Schlei_S23,Schlei,9.78108,54.5722,sediment,27,BONUS MICROPOLL,81.0,41.0,irregular,unspecific,Epoxy resin,Epoxy resin,1391.0,1213,0.093,1.0,57.62811813689564
26520_0,Schlei_S23,Schlei,9.78108,54.5722,sediment,27,BONUS MICROPOLL,94.0,66.0,irregular,unspecific,Unknown,PE+PMMA,1391.0,1213,0.093,1.0,78.76547467006087
26521_0,Schlei_S23,Schlei,9.78108,54.5722,sediment,27,BONUS MICROPOLL,236.0,56.0,irregular,unspecific,Polyethylene,PE+PV23,1391.0,1213,0.093,1.0,114.96086290559931
26524_0,Schlei_S23,Schlei,9.78108,54.5722,sediment,27,BONUS MICROPOLL,125.0,33.0,irregular,unspecific,Polypropylene,Polypropylene,1391.0,1213,0.093,1.0,64.22616289332565
26525_0,Schlei_S23,Schlei,9.78108,54.5722,sediment,27,BONUS MICROPOLL,125.0,32.0,irregular,unspecific,Polystyrene,Polystyrene,1391.0,1213,0.093,1.0,63.245553203367585
26526_0,Schlei_S23,Schlei,9.78108,54.5722,sediment,27,BONUS MICROPOLL,251.0,118.0,irregular,unspecific,Polyurethane ,TPU+PB15,1391.0,1213,0.093,1.0,172.0988088279521
26527_0,Schlei_S23,Schlei,9.78108,54.5722,sediment,27,BONUS MICROPOLL,339.0,26.0,fibre,unspecific,Poly (ethylene terephthalate),Poly(ethylene terephtalate),1391.0,1213,0.093,1.0,93.8829057922687
26528_0,Schlei_S23,Schlei,9.78108,54.5722,sediment,27,BONUS MICROPOLL,90.0,66.0,irregular,unspecific,Poly (ethylene terephthalate),Poly(ethylene terephtalate),1391.0,1213,0.093,1.0,77.07139547199077
26529_0,Schlei_S23,Schlei,9.78108,54.5722,sediment,27,BONUS MICROPOLL,204.0,36.0,fibre,unspecific,Poly (ethylene terephthalate),Poly(ethylene terephtalate),1391.0,1213,0.093,1.0,85.6971411425142
26530_0,Schlei_S23,Schlei,9.78108,54.5722,sediment,27,BONUS MICROPOLL,571.0,32.0,fibre,unspecific,Poly (ethylene terephthalate),Poly(ethylene terephtalate),1391.0,1213,0.093,1.0,135.17396198972642
26531_0,Schlei_S23,Schlei,9.78108,54.5722,sediment,27,BONUS MICROPOLL,815.0,43.0,fibre,unspecific,Poly (ethylene terephthalate),Poly(ethylene terephtalate),1391.0,1213,0.093,1.0,187.20309826495927
26532_0,Schlei_S23,Schlei,9.78108,54.5722,sediment,27,BONUS MICROPOLL,224.0,14.0,fibre,unspecific,Poly (ethylene terephthalate),Poly(ethylene terephtalate),1391.0,1213,0.093,1.0,56.0
26533_0,Schlei_S23,Schlei,9.78108,54.5722,sediment,27,BONUS MICROPOLL,61.0,31.0,irregular,unspecific,Polyethylene,Polyethylene,1391.0,1213,0.093,1.0,43.485629810317796
26535_0,Schlei_S23,Schlei,9.78108,54.5722,sediment,27,BONUS MICROPOLL,155.0,130.0,irregular,unspecific,Polyethylene,Polyethylene,1391.0,1213,0.093,1.0,141.9506956657839
26536_0,Schlei_S23,Schlei,9.78108,54.5722,sediment,27,BONUS MICROPOLL,122.0,43.0,irregular,unspecific,Polyethylene,Polyethylene,1391.0,1213,0.093,1.0,72.42927584892728
26540_0,Schlei_S23,Schlei,9.78108,54.5722,sediment,27,BONUS MICROPOLL,804.0,155.0,irregular,unspecific,Polyethylene,PE+TiO2,1391.0,1213,0.093,1.0,353.0155803927073
26541_0,Schlei_S23,Schlei,9.78108,54.5722,sediment,27,BONUS MICROPOLL,92.0,76.0,irregular,unspecific,Poly (ethylene terephthalate),PET+TiO2,1391.0,1213,0.093,1.0,83.6181798414675
26542_0,Schlei_S23,Schlei,9.78108,54.5722,sediment,27,BONUS MICROPOLL,169.0,56.0,irregular,unspecific,Polystyrene,Polystyrene,1391.0,1213,0.093,1.0,97.28309205612247
26543_0,Schlei_S23,Schlei,9.78108,54.5722,sediment,27,BONUS MICROPOLL,76.0,56.0,irregular,unspecific,Poly (ethylene terephthalate),PET+TiO2,1391.0,1213,0.093,1.0,65.23802572120036
26545_0,Schlei_S23,Schlei,9.78108,54.5722,sediment,27,BONUS MICROPOLL,209.0,46.0,irregular,unspecific,Poly (ethylene terephthalate),Poly(ethylene terephtalate),1391.0,1213,0.093,1.0,98.05100713404222
26546_0,Schlei_S23,Schlei,9.78108,54.5722,sediment,27,BONUS MICROPOLL,106.0,89.0,irregular,unspecific,Polycarbonate,Polycarbonate,1391.0,1213,0.093,1.0,97.12878049270464
26547_0,Schlei_S23,Schlei,9.78108,54.5722,sediment,27,BONUS MICROPOLL,101.0,62.0,irregular,unspecific,Polyethylene,Polyethylene,1391.0,1213,0.093,1.0,79.13279977354523
26548_0,Schlei_S23,Schlei,9.78108,54.5722,sediment,27,BONUS MICROPOLL,379.0,72.0,irregular,unspecific,Polypropylene,Polypropylene,1391.0,1213,0.093,1.0,165.19079877523444
26550_0,Schlei_S23,Schlei,9.78108,54.5722,sediment,27,BONUS MICROPOLL,60.0,23.0,irregular,unspecific,Poly (ethylene terephthalate),Poly(ethylene terephtalate),1391.0,1213,0.093,1.0,37.14835124201342
26551_0,Schlei_S23,Schlei,9.78108,54.5722,sediment,27,BONUS MICROPOLL,208.0,33.0,fibre,unspecific,Poly (ethylene terephthalate),Poly(ethylene terephtalate),1391.0,1213,0.093,1.0,82.84926070883192
26552_0,Schlei_S23,Schlei,9.78108,54.5722,sediment,27,BONUS MICROPOLL,264.0,27.0,fibre,unspecific,Poly (ethylene terephthalate),Poly(ethylene terephtalate),1391.0,1213,0.093,1.0,84.42748367682174
26553_0,Schlei_S23,Schlei,9.78108,54.5722,sediment,27,BONUS MICROPOLL,212.0,33.0,fibre,unspecific,Poly (ethylene terephthalate),Poly(ethylene terephtalate),1391.0,1213,0.093,1.0,83.64209466530593
26554_0,Schlei_S23,Schlei,9.78108,54.5722,sediment,27,BONUS MICROPOLL,952.0,36.0,fibre,unspecific,Poly (ethylene terephthalate),Poly(ethylene terephtalate),1391.0,1213,0.093,1.0,185.12698344649814
26555_0,Schlei_S23,Schlei,9.78108,54.5722,sediment,27,BONUS MICROPOLL,54.0,42.0,irregular,unspecific,Poly (ethylene terephthalate),Poly(ethylene terephtalate),1391.0,1213,0.093,1.0,47.62352359916263
26556_0,Schlei_S23,Schlei,9.78108,54.5722,sediment,27,BONUS MICROPOLL,255.0,65.0,irregular,unspecific,Polypropylene,Polypropylene,1391.0,1213,0.093,1.0,128.74393189583733
26557_0,Schlei_S23,Schlei,9.78108,54.5722,sediment,27,BONUS MICROPOLL,284.0,98.0,irregular,unspecific,Polypropylene,Polypropylene,1391.0,1213,0.093,1.0,166.8292540293818
26558_0,Schlei_S23,Schlei,9.78108,54.5722,sediment,27,BONUS MICROPOLL,85.0,19.0,irregular,unspecific,Polypropylene,Polypropylene,1391.0,1213,0.093,1.0,40.18706259482024
26559_0,Schlei_S23,Schlei,9.78108,54.5722,sediment,27,BONUS MICROPOLL,375.0,60.0,irregular,unspecific,Polypropylene,Polypropylene,1391.0,1213,0.093,1.0,150.0
26560_0,Schlei_S23,Schlei,9.78108,54.5722,sediment,27,BONUS MICROPOLL,61.0,44.0,irregular,unspecific,Polyethylene,Polyethylene,1391.0,1213,0.093,1.0,51.807335387954474
26561_0,Schlei_S23,Schlei,9.78108,54.5722,sediment,27,BONUS MICROPOLL,94.0,56.0,irregular,unspecific,Polyethylene,Polyethylene,1391.0,1213,0.093,1.0,72.55342858886821
26562_0,Schlei_S23,Schlei,9.78108,54.5722,sediment,27,BONUS MICROPOLL,101.0,94.0,irregular,unspecific,Polyethylene,Polyethylene,1391.0,1213,0.093,1.0,97.43715923609432
26564_0,Schlei_S23,Schlei,9.78108,54.5722,sediment,27,BONUS MICROPOLL,89.0,53.0,irregular,unspecific,Polystyrene,Polystyrene,1391.0,1213,0.093,1.0,68.6804193347711
26568_0,Schlei_S23,Schlei,9.78108,54.5722,sediment,27,BONUS MICROPOLL,129.0,79.0,irregular,unspecific,Poly (vinyl chloride),Poly(vinyl chloride),1391.0,1213,0.093,1.0,100.9504829111778
26569_0,Schlei_S23,Schlei,9.78108,54.5722,sediment,27,BONUS MICROPOLL,154.0,112.0,irregular,unspecific,Polyethylene,Polyethylene,1391.0,1213,0.093,1.0,131.33164127505603
26570_0,Schlei_S23,Schlei,9.78108,54.5722,sediment,27,BONUS MICROPOLL,92.0,55.0,irregular,unspecific,Poly (ethylene terephthalate),Poly(ethylene terephtalate),1391.0,1213,0.093,1.0,71.13367697511495
26571_0,Schlei_S23,Schlei,9.78108,54.5722,sediment,27,BONUS MICROPOLL,362.0,32.0,fibre,unspecific,Poly (ethylene terephthalate),Poly(ethylene terephtalate),1391.0,1213,0.093,1.0,107.62899237658968
26572_0,Schlei_S23,Schlei,9.78108,54.5722,sediment,27,BONUS MICROPOLL,211.0,61.0,irregular,unspecific,Poly (ethylene terephthalate),Poly(ethylene terephtalate),1391.0,1213,0.093,1.0,113.45042970390196
26573_0,Schlei_S23,Schlei,9.78108,54.5722,sediment,27,BONUS MICROPOLL,457.0,29.0,fibre,unspecific,Poly (ethylene terephthalate),Poly(ethylene terephtalate),1391.0,1213,0.093,1.0,115.12167476196652
26574_0,Schlei_S23,Schlei,9.78108,54.5722,sediment,27,BONUS MICROPOLL,168.0,12.0,fibre,unspecific,Poly (ethylene terephthalate),Poly(ethylene terephtalate),1391.0,1213,0.093,1.0,44.8998886412873
26576_0,Schlei_S23,Schlei,9.78108,54.5722,sediment,27,BONUS MICROPOLL,531.0,44.0,fibre,unspecific,Poly (ethylene terephthalate),Poly(ethylene terephtalate),1391.0,1213,0.093,1.0,152.85287043428397
26577_0,Schlei_S23,Schlei,9.78108,54.5722,sediment,27,BONUS MICROPOLL,87.0,25.0,irregular,unspecific,Poly (ethylene terephthalate),Poly(ethylene terephtalate),1391.0,1213,0.093,1.0,46.636895265444075
26578_0,Schlei_S23,Schlei,9.78108,54.5722,sediment,27,BONUS MICROPOLL,95.0,41.0,irregular,unspecific,Poly (ethylene terephthalate),Poly(ethylene terephtalate),1391.0,1213,0.093,1.0,62.4099351065197
26580_0,Schlei_S23,Schlei,9.78108,54.5722,sediment,27,BONUS MICROPOLL,112.0,44.0,irregular,unspecific,Polyethylene,Polyethylene,1391.0,1213,0.093,1.0,70.19971509913698
26581_0,Schlei_S23,Schlei,9.78108,54.5722,sediment,27,BONUS MICROPOLL,150.0,61.0,irregular,unspecific,Polyethylene,Polyethylene,1391.0,1213,0.093,1.0,95.65563234854496
26582_0,Schlei_S23,Schlei,9.78108,54.5722,sediment,27,BONUS MICROPOLL,120.0,50.0,irregular,unspecific,Polyethylene,Polyethylene,1391.0,1213,0.093,1.0,77.45966692414834
26583_0,Schlei_S23,Schlei,9.78108,54.5722,sediment,27,BONUS MICROPOLL,458.0,153.0,irregular,unspecific,Polyethylene,Polyethylene,1391.0,1213,0.093,1.0,264.7149410214694
26584_0,Schlei_S23,Schlei,9.78108,54.5722,sediment,27,BONUS MICROPOLL,67.0,40.0,irregular,unspecific,Polyethylene,Polyethylene,1391.0,1213,0.093,1.0,51.76871642217914
26586_0,Schlei_S23,Schlei,9.78108,54.5722,sediment,27,BONUS MICROPOLL,358.0,87.0,irregular,unspecific,Polyethylene,Polyethylene,1391.0,1213,0.093,1.0,176.4822937294277
26587_0,Schlei_S23,Schlei,9.78108,54.5722,sediment,27,BONUS MICROPOLL,76.0,51.0,irregular,unspecific,Polystyrene,Polystyrene,1391.0,1213,0.093,1.0,62.25752966509352
26588_0,Schlei_S23,Schlei,9.78108,54.5722,sediment,27,BONUS MICROPOLL,98.0,23.0,irregular,unspecific,Polystyrene,Polystyrene,1391.0,1213,0.093,1.0,47.47630988187688
26589_0,Schlei_S23,Schlei,9.78108,54.5722,sediment,27,BONUS MICROPOLL,74.0,60.0,irregular,unspecific,Polystyrene,Polystyrene,1391.0,1213,0.093,1.0,66.63332499583073
26590_0,Schlei_S23,Schlei,9.78108,54.5722,sediment,27,BONUS MICROPOLL,96.0,80.0,irregular,unspecific,Polystyrene,Polystyrene,1391.0,1213,0.093,1.0,87.63560920082658
26591_0,Schlei_S23,Schlei,9.78108,54.5722,sediment,27,BONUS MICROPOLL,295.0,260.0,irregular,unspecific,Polystyrene,Polystyrene,1391.0,1213,0.093,1.0,276.9476484825246
26592_0,Schlei_S23,Schlei,9.78108,54.5722,sediment,27,BONUS MICROPOLL,148.0,118.0,irregular,unspecific,Polystyrene,Polystyrene,1391.0,1213,0.093,1.0,132.15142829345433
