Sample,WWTP_influence_as_tracer_mean_dist,WWTP_influence_as_endpoints_mean_dist,WWTP_influence_as_cumulated_residence,WWTP_influence_as_mean_time_travelled
Schlei_S10,672.4396261464681,836.4306375269408,795025,66.62026726057907
Schlei_S10_15cm,672.4396261464681,836.4306375269408,795025,66.62026726057907
Schlei_S11,985.3209422318852,1084.2678639442977,58095,139.6009244992296
Schlei_S13,1582.643849810751,1648.7465059902775,27742,128.4835164835165
Schlei_S14,2359.6153961398477,2390.4917304620285,1368,132.3716814159292
Schlei_S15,2685.6523535757556,2703.1001993704153,1016,159.98863636363637
Schlei_S16,4235.88845304734,4237.766309484504,2011,187.61682242990653
Schlei_S17,5204.601675612587,5203.2725448259525,2029,204.7051282051282
Schlei_S19,6242.855518659678,6224.385278801905,401,207.20754716981133
Schlei_S1_15cm,3884.0954888246692,4014.5188166418952,2399,182.97727272727272
Schlei_S2,2290.2322617547434,2394.1170194623587,3662,137.12878787878788
Schlei_S20,5440.149846492094,5421.524940272665,1016,183.3978494623656
Schlei_S21,7974.9353650491275,7936.127984013841,436,222.15384615384616
Schlei_S22,11158.583196945563,11099.114164846718,324,225.37142857142857
Schlei_S23,12417.467824009667,12353.056908602766,148,269.25
Schlei_S24,14459.85054154031,14386.454448613613,246,248.31034482758622
Schlei_S25,20631.614427058903,20537.020206106732,67,258.8333333333333
Schlei_S26,23250.926304809167,23148.778919788096,41,266.6666666666667
Schlei_S27,24404.92703082983,24300.385961916676,17,306.5
Schlei_S29,26443.757679134345,26337.13104009127,28,265.44444444444446
Schlei_S2_15cm,2290.2322617547434,2394.1170194623587,3662,137.12878787878788
Schlei_S3,1966.6949833174915,2051.7845480850788,7646,147.13095238095238
Schlei_S30,27259.678219653386,27152.022541268532,17,304.5
Schlei_S31,31415.358920837218,31290.290907514038,13,290.57142857142856
Schlei_S32,30453.841604926303,30336.8236566826,0,489.0
Schlei_S4,1493.6757237762754,1559.3648263392283,69549,121.8714953271028
Schlei_S4_15cm,1493.6757237762754,1559.3648263392283,69549,121.8714953271028
Schlei_S5,1724.4664846667251,1739.9449160077786,27312,101.77333333333333
Schlei_S6,1110.005020369273,1199.0336947559026,101922,148.38735177865613
Schlei_S7,1117.4975216190664,1215.7896413923218,75772,180.64989059080963
Schlei_S8,729.0668417795271,874.3012675743369,800591,66.62026726057907
